Order_ID,Order_Date,Region,Product_Category,Quantity,Unit_Price,Revenue,Cost,Profit
10001,2024-04-12,Qatar,Lighting,8,236,1888,1481.8642968146619,406.1357031853381
10002,2024-12-14,UAE,Electrical,7,88,616,370.9018386394938,245.0981613605062
10003,2024-09-27,Oman,CCTV,8,234,1872,1339.5551558230563,532.4448441769437
10004,2024-04-16,Qatar,CCTV,8,132,1056,836.7302058986586,219.2697941013414
10005,2024-03-12,UAE,Switches,2,244,488,315.9901989055433,172.0098010944567
10006,2024-07-07,Saudi,Lighting,16,83,1328,864.3099621190993,463.6900378809007
10007,2024-01-21,UAE,Cables,9,162,1458,874.9233842881405,583.0766157118595
10008,2024-04-12,Oman,CCTV,13,474,6162,3778.971184357988,2383.028815642012
10009,2024-05-01,Oman,Lighting,12,455,5460,3325.01814544218,2134.98185455782
10010,2024-08-02,Oman,Electrical,17,279,4743,3626.1717507068406,1116.8282492931594
10011,2024-11-26,Oman,Switches,2,332,664,509.5187492886853,154.48125071131471
10012,2024-03-28,Oman,Electrical,13,454,5902,4398.99677937141,1503.0032206285896
10013,2024-04-09,Qatar,CCTV,1,474,474,317.8402271866203,156.15977281337967
10014,2024-12-25,Oman,CCTV,19,336,6384,4878.977681618074,1505.0223183819262
10015,2024-05-31,Qatar,Electrical,11,204,2244,1588.6508046850054,655.3491953149946
10016,2024-05-10,Saudi,CCTV,5,214,1070,707.1223991667035,362.87760083329647
10017,2024-05-29,Oman,Lighting,1,499,499,343.0402215576161,155.95977844238388
10018,2024-11-04,Oman,CCTV,13,231,3003,1841.300122562646,1161.699877437354
10019,2024-09-14,UAE,Switches,8,288,2304,1817.8139228543603,486.18607714563973
10020,2024-12-09,Saudi,Lighting,6,186,1116,807.7867843529308,308.2132156470692
10021,2024-10-20,Oman,Cables,17,388,6596,4922.244083992412,1673.755916007588
10022,2024-07-10,Oman,CCTV,12,475,5700,4191.30504227866,1508.69495772134
10023,2024-10-03,Saudi,CCTV,1,469,469,344.034948548068,124.96505145193203
10024,2024-06-09,Qatar,Switches,3,315,945,570.2623262589783,374.7376737410217
10025,2024-11-09,Oman,Switches,14,236,3304,2329.565341681827,974.4346583181732
10026,2024-01-22,UAE,Electrical,8,89,712,544.2115365562761,167.7884634437239
10027,2024-09-09,Oman,Electrical,11,359,3949,2404.5609888448816,1544.4390111551184
10028,2024-08-23,UAE,Electrical,14,216,3024,2392.6890056156262,631.3109943843738
10029,2024-12-10,UAE,Switches,8,440,3520,2410.6084168362167,1109.3915831637833
10030,2024-02-18,Oman,Electrical,3,309,927,609.9466242263243,317.0533757736757
10031,2024-02-28,Oman,Electrical,7,192,1344,949.3535820093543,394.64641799064566
10032,2024-06-18,UAE,Cables,19,253,4807,3654.487320192295,1152.512679807705
10033,2024-07-06,Saudi,Electrical,4,225,900,625.4559111183547,274.5440888816453
10034,2024-09-27,Saudi,CCTV,16,311,4976,3627.6091693387775,1348.3908306612225
10035,2024-07-08,Oman,Switches,13,301,3913,2739.0329999446044,1173.9670000553956
10036,2024-06-23,Qatar,Lighting,19,378,7182,5215.959469439361,1966.0405305606391
10037,2024-02-20,Saudi,Cables,5,468,2340,1468.5984683120257,871.4015316879743
10038,2024-12-29,Oman,Switches,5,249,1245,756.6271831583468,488.37281684165316
10039,2024-02-24,Saudi,Switches,4,248,992,622.3612388903626,369.63876110963736
10040,2024-08-31,Qatar,CCTV,2,245,490,322.012138177065,167.98786182293497
10041,2024-11-15,Oman,Electrical,13,363,4719,3070.517451738523,1648.482548261477
10042,2024-05-10,Qatar,CCTV,16,126,2016,1457.6387009831728,558.3612990168272
10043,2024-11-02,Oman,Electrical,2,68,136,94.00019233645135,41.99980766354865
10044,2024-05-14,Qatar,Electrical,19,111,2109,1281.770893597124,827.2291064028759
10045,2024-01-21,Saudi,Switches,17,376,6392,3879.772574635685,2512.227425364315
10046,2024-11-24,Saudi,Electrical,5,443,2215,1369.1304849394548,845.8695150605452
10047,2024-06-15,Qatar,Cables,18,330,5940,3983.460414992229,1956.5395850077712
10048,2024-09-30,Qatar,Cables,18,477,8586,5162.217363394916,3423.782636605084
10049,2024-03-29,Qatar,Cables,8,299,2392,1671.5235077817792,720.4764922182208
10050,2024-11-11,Oman,Switches,15,276,4140,2782.6344820481027,1357.3655179518973
10051,2024-01-14,Saudi,CCTV,13,176,2288,1626.9699399969222,661.0300600030778
10052,2024-08-29,Oman,Lighting,13,107,1391,1035.1335784526352,355.8664215473648
10053,2024-09-21,Saudi,Electrical,16,458,7328,4764.625758367275,2563.374241632725
10054,2024-12-11,UAE,Lighting,13,425,5525,3488.5774306299454,2036.4225693700546
10055,2024-02-22,Oman,CCTV,2,253,506,331.73901986349483,174.26098013650517
10056,2024-12-05,Saudi,CCTV,3,292,876,525.9089094779738,350.0910905220262
10057,2024-04-01,Saudi,Switches,15,416,6240,3893.7761684961743,2346.2238315038257
10058,2024-09-20,Oman,Cables,19,473,8987,6741.742495689818,2245.2575043101824
10059,2024-02-04,Oman,Cables,13,381,4953,3192.512458081723,1760.4875419182772
10060,2024-07-24,Saudi,CCTV,5,375,1875,1497.8623626765145,377.1376373234855
10061,2024-03-21,Oman,Switches,6,301,1806,1144.220745516969,661.7792544830311
10062,2024-02-19,Qatar,Switches,14,443,6202,4699.592435987439,1502.4075640125611
10063,2024-12-25,Oman,Electrical,4,371,1484,1099.6571992378188,384.34280076218124
10064,2024-01-02,Oman,Cables,19,425,8075,5365.243410648337,2709.756589351663
10065,2024-02-23,Oman,CCTV,7,458,3206,2135.6699388544966,1070.3300611455034
10066,2024-04-15,Saudi,Lighting,4,248,992,707.0086336638736,284.99136633612636
10067,2024-09-16,Qatar,Cables,2,392,784,604.0522584852653,179.94774151473473
10068,2024-11-05,UAE,Electrical,7,289,2023,1370.0512375907351,652.9487624092649
10069,2024-07-09,UAE,Switches,3,188,564,345.30109056759625,218.69890943240375
10070,2024-08-05,Qatar,CCTV,15,171,2565,1731.0770377508784,833.9229622491216
10071,2024-02-13,Qatar,Cables,1,469,469,300.84592875016915,168.15407124983085
10072,2024-06-10,Qatar,Lighting,2,98,196,154.41691506894867,41.58308493105133
10073,2024-07-20,Saudi,Electrical,10,353,3530,2610.275688541419,919.7243114585808
10074,2024-09-26,UAE,Electrical,16,164,2624,1601.0769821791655,1022.9230178208345
10075,2024-12-16,Qatar,Cables,15,392,5880,3872.5545198208256,2007.4454801791744
10076,2024-10-30,Saudi,Lighting,15,300,4500,2745.1943684287257,1754.8056315712743
10077,2024-09-27,UAE,Electrical,14,56,784,600.5466139147665,183.45338608523355
10078,2024-08-02,Oman,CCTV,14,268,3752,2931.2848199911336,820.7151800088664
10079,2024-09-08,Saudi,Electrical,6,126,756,470.5766764028681,285.4233235971319
10080,2024-07-08,UAE,Lighting,14,228,3192,2196.2811653719514,995.7188346280486
10081,2024-10-22,Saudi,Switches,17,194,3298,2593.4702126993066,704.5297873006934
10082,2024-07-31,UAE,Switches,18,465,8370,5265.084363560359,3104.9156364396413
10083,2024-07-26,UAE,Cables,19,203,3857,2539.3744298322813,1317.6255701677187
10084,2024-08-24,Oman,Lighting,17,170,2890,1909.8707477997953,980.1292522002047
10085,2024-12-03,Saudi,Electrical,16,173,2768,1677.4402816350264,1090.5597183649736
10086,2024-02-22,Qatar,Electrical,8,199,1592,966.749397925293,625.250602074707
10087,2024-10-06,Oman,Switches,7,446,3122,2468.123841230571,653.8761587694289
10088,2024-08-04,Oman,Switches,12,430,5160,3685.367572473814,1474.632427526186
10089,2024-09-08,UAE,CCTV,9,317,2853,1886.7735322071694,966.2264677928306
10090,2024-07-06,Qatar,Switches,14,376,5264,3557.068682791892,1706.9313172081079
10091,2024-02-10,Saudi,CCTV,1,50,50,37.148429288450245,12.851570711549755
10092,2024-06-05,Qatar,Electrical,10,210,2100,1413.9372254929406,686.0627745070594
10093,2024-01-15,Qatar,CCTV,17,293,4981,3215.494913561534,1765.5050864384662
10094,2024-10-27,Qatar,CCTV,17,424,7208,4471.60871165027,2736.3912883497296
10095,2024-03-05,Qatar,Cables,17,447,7599,5667.232391209073,1931.7676087909267
10096,2024-12-10,Qatar,Switches,4,300,1200,763.335604002054,436.66439599794603
10097,2024-11-22,UAE,CCTV,17,416,7072,4341.710512983755,2730.2894870162454
10098,2024-01-09,UAE,Electrical,18,113,2034,1394.085068427967,639.9149315720331
10099,2024-12-09,Oman,Lighting,2,348,696,423.1082778841404,272.8917221158596
10100,2024-05-08,UAE,CCTV,8,297,2376,1884.1670773245398,491.83292267546017
10101,2024-05-15,Oman,Switches,13,491,6383,4630.60220240604,1752.3977975939597
10102,2024-03-03,Oman,Cables,15,346,5190,3272.4992892435303,1917.5007107564697
10103,2024-05-18,Saudi,Electrical,9,164,1476,936.5084463195856,539.4915536804144
10104,2024-03-21,Qatar,Cables,3,344,1032,736.8125983283153,295.1874016716847
10105,2024-06-11,UAE,Lighting,3,50,150,100.69697272013381,49.303027279866185
10106,2024-10-15,Saudi,CCTV,2,90,180,135.8736027907577,44.1263972092423
10107,2024-09-17,UAE,CCTV,1,222,222,157.43380796147989,64.56619203852011
10108,2024-08-18,Oman,Switches,14,137,1918,1317.0268746513675,600.9731253486325
10109,2024-02-10,UAE,CCTV,17,147,2499,1980.697527983023,518.3024720169769
10110,2024-01-28,Qatar,Electrical,13,137,1781,1207.7776898218913,573.2223101781087
10111,2024-05-14,Oman,Lighting,19,300,5700,3876.696453128972,1823.3035468710282
10112,2024-07-19,Oman,Cables,15,384,5760,4222.969829062029,1537.030170937971
10113,2024-11-23,Saudi,Lighting,14,190,2660,2026.6426067529935,633.3573932470065
10114,2024-09-24,Qatar,CCTV,2,120,240,174.05831956121017,65.94168043878983
10115,2024-02-02,Oman,Cables,7,186,1302,963.1181018229732,338.88189817702676
10116,2024-02-17,Qatar,Switches,17,496,8432,5688.111797230733,2743.888202769267
10117,2024-03-02,UAE,Lighting,18,148,2664,1853.8759144756168,810.1240855243832
10118,2024-08-03,Qatar,Cables,6,200,1200,767.2884207523111,432.71157924768886
10119,2024-10-19,Oman,Cables,8,487,3896,2867.648065552289,1028.3519344477108
10120,2024-04-08,Saudi,Cables,2,224,448,288.6420938622332,159.3579061377668
10121,2024-06-20,Oman,Electrical,1,216,216,129.65429356101265,86.34570643898735
10122,2024-12-25,Qatar,Lighting,16,392,6272,4934.511203085589,1337.488796914411
10123,2024-08-01,Qatar,Cables,7,459,3213,2124.4453940044723,1088.5546059955277
10124,2024-02-04,Oman,Lighting,11,306,3366,2151.972690988113,1214.0273090118872
10125,2024-08-14,Qatar,Cables,15,447,6705,4382.584766225105,2322.4152337748947
10126,2024-04-10,UAE,Switches,13,273,3549,2363.951775769716,1185.0482242302842
10127,2024-05-10,Oman,Switches,2,417,834,579.5543439315554,254.44565606844458
10128,2024-09-13,Saudi,Switches,14,379,5306,3257.1959932849345,2048.8040067150655
10129,2024-01-05,Oman,CCTV,6,114,684,417.6056877689057,266.3943122310943
10130,2024-08-05,UAE,Cables,9,118,1062,699.4142466002866,362.58575339971344
10131,2024-09-11,UAE,CCTV,7,116,812,535.2324197064083,276.76758029359166
10132,2024-12-24,UAE,Lighting,18,482,8676,5409.7397345032605,3266.2602654967395
10133,2024-10-09,UAE,CCTV,9,99,891,606.7338621079192,284.2661378920808
10134,2024-07-25,UAE,Lighting,4,363,1452,953.681925246088,498.318074753912
10135,2024-01-15,Saudi,Lighting,9,358,3222,1949.9901982211431,1272.0098017788569
10136,2024-12-11,Qatar,Lighting,4,140,560,435.20072740716444,124.79927259283556
10137,2024-02-11,UAE,CCTV,12,164,1968,1529.5370855019573,438.46291449804266
10138,2024-06-27,UAE,Cables,4,423,1692,1085.9872743859196,606.0127256140804
10139,2024-03-03,Oman,CCTV,14,106,1484,938.7404773191785,545.2595226808215
10140,2024-12-17,Saudi,Cables,7,391,2737,1941.788059203538,795.2119407964619
10141,2024-08-18,Saudi,Cables,13,67,871,632.4772602193652,238.52273978063477
10142,2024-08-28,Qatar,Lighting,8,321,2568,2032.5938575048167,535.4061424951833
10143,2024-02-21,Saudi,CCTV,5,179,895,604.5453737385265,290.45462626147355
10144,2024-04-05,Oman,Cables,12,318,3816,2761.410501674231,1054.589498325769
10145,2024-08-09,Oman,Switches,13,478,6214,4819.803403725597,1394.1965962744034
10146,2024-08-18,Qatar,Cables,14,129,1806,1246.1233074240429,559.8766925759571
10147,2024-08-24,Oman,Switches,18,348,6264,3911.6747570498983,2352.3252429501017
10148,2024-05-22,UAE,CCTV,4,359,1436,970.0028604903686,465.99713950963144
10149,2024-06-19,UAE,CCTV,18,251,4518,2834.201874969102,1683.798125030898
10150,2024-01-29,Oman,CCTV,7,274,1918,1157.182898467868,760.817101532132
10151,2024-02-05,Qatar,Cables,15,208,3120,2340.969107161792,779.0308928382078
10152,2024-01-13,Saudi,Electrical,6,253,1518,983.1854354703898,534.8145645296102
10153,2024-06-08,Qatar,Cables,16,186,2976,1786.7945936833573,1189.2054063166427
10154,2024-11-22,Saudi,Cables,8,122,976,755.8987961908603,220.10120380913975
10155,2024-07-05,Oman,Lighting,16,97,1552,1068.952055467577,483.0479445324229
10156,2024-08-30,Oman,Lighting,16,67,1072,694.4115581933635,377.5884418066365
10157,2024-03-26,UAE,Cables,3,316,948,618.6249787585875,329.37502124141247
10158,2024-10-10,Saudi,Switches,17,495,8415,5453.8252744324,2961.1747255676
10159,2024-03-06,Qatar,Lighting,9,389,3501,2236.828224064728,1264.1717759352719
10160,2024-06-18,Oman,Cables,3,68,204,156.7220299626313,47.2779700373687
10161,2024-02-14,Qatar,Electrical,7,149,1043,661.3311789295548,381.66882107044523
10162,2024-03-02,UAE,Switches,18,165,2970,2115.7416822243626,854.2583177756374
